slug,name,academy_class,year_start,last_updated,website,birth_info
abir-kobeissi,Abir Kobeissi,Voigt,2017,2026-03-19,http://www.abirkobeissi.com/,
tanja-fender,Tanja Fender,Prangenberg,2002,2026-03-18,http://kunstverein-rosenheim.de/?p=981,
robert-weissenbacher,Robert Weissenbacher,Ingold,2004,2026-03-01,https://www.robert-weissenbacher.eu/biographie,
pavel-sinev,Pavel Sinev,Pitz,2006,2026-02-28,http://www.martplace.de/home.html,
lydiane-lutz,Lydiane Lutz,Wähner,2002,2026-02-17,http://lydianelutz.de,
katharina-burger,Katharina Burger,Hien,2021,2026-02-09,http://www.katharinaburger.com,
stephanie-mueller,Stephanie Müller,Schottenloher,2009,2026-02-05,http://alligatorgozaimasu.bandcamp.com/album/episode-1-solange-bunte-balken-durchlaufen,
kirsten-kleie,Kirsten Kleie,Rehm,2009,2026-02-03,http://sexliebeleben.de/?port=austellung-5-sophia-suessmilch-finisage-gespraech-am-15-februar-2020-ab-19-30-uhr,
quirin-empl,Quirin Empl,Ingold,2006,2026-01-18,http://www.mayerempl.de/,
matthias-wurm,Matthias Wurm,Prangenberg,2006,2026-01-14,http://www.pfaffenhofen.de/artikel/matthias-wurm-kulturfoerderpreistraeger-2022/,
alexandra-hauschka,Alexandra Hauschka,Zeniuk,1995,2026-01-06,http://www.etracker.com,
chi-shin-kim,Chi-Shin Kim,Jetelova,2008,2026-01-05,http://jetklasseseoul.blogspot.com/,
zhenya-li,Zhenya Li,Bruch,2008,2025-12-19,http://www.zhenya-li.de,
seung-il-chung,Seung-il Chung,Jetelova,2006,2025-12-07,http://www.seungilchung.com,
annemarie-faupel,Annemarie Faupel,Kneffel,2016,2025-12-01,http://www.etracker.com,
tibor-pogonyi,Tibor Pogonyi,Doberauer,2000,2025-11-12,http://www.etracker.com,
eva-zenetti,Eva Zenetti,Hien,2005,2025-10-26,http://www.evazenetti.com/,
martina-mair,Martina Mair,Zeniuk,2002,2025-10-09,http://www.etracker.com,
patricia-wich,Patricia Wich,Prangenberg,2002,2025-09-18,http://www.kunstforum.de/nachrichten.aspx?id=11863,
leonid-hrytsak,Leonid Hrytsak,Prangenberg,2006,2025-08-14,http://artpolitics.org/,
adrine-ter-arakelyan,Adrine Ter-Arakelyan,Kasseböhmer,2012,2025-08-01,http://www.etracker.com,
timur-lukas,Timur Lukas,Hildebrandt,2011,2025-07-16,http://www.timur-lukas.de/,
camilla-nicklaus-maurer,Camilla Nicklaus-Maurer,Jetelová,2005,2025-07-15,http://www.sueddeutsche.de/muenchen/dachau/kunst-in-dachau-geist-und-geruch-1.2940915,1983
christiane-schachtner,Christiane Schachtner,Dillemuth,2003,2025-07-04,http://www.pinakothek.de/de/wie-bilder-erzaehlen,
lenka-richterova,Lenka Richterová,Jetelová,2009,2025-06-30,http://www.youtube.com/watch?v=XgI3UZHOgWg,
daria-wendland,Daria Wendland,Nicolai,2006,2025-06-02,http://www.art-visuals.de,
vero-wendland,Vero Wendland,Zeniuk,2005,2025-06-02,http://www.art-visuals.de,
simone-braitinger,Simone Braitinger,Kasseböhmer,1993,2025-05-20,http://www.etracker.com,
katharina-ulke,Katharina Ulke,Scully,2004,2025-05-05,http://www.tascafilmsmunich.de/filmessays/,
andrea-zabric,Andrea Zabric,Fries,2012,2025-05-05,http://www.etracker.com,
esther-zellmer,Esther Zellmer,Zeniuk,1994,2025-05-04,http://www.etracker.com,
daniel-engelberg,Daniel Engelberg,Pitz,2010,2025-04-28,http://www.etracker.com,
atigula-aziz,Atigula Aziz,Kasseböhmer,2000,2025-04-15,http://www.atigula-aziz.de/,
sergio-magallanes,Sergio Magallanes,Metzel,2004,2025-03-25,http://www.etracker.com,
karolin-nirschl,Karolin Nirschl,http://www.jahresausstellung2023.de/uebersicht/freie-kunst/klasse-alexi-meskhisvili.html,2016,2025-03-20,http://www.adbk.de/de/diplom-25/karolin-nirschl.html,
magdalena-waller,Magdalena Waller,Kasseböhmer,2009,2025-03-16,http://www.goldberggalerie.de/,
jasmine-duerr,Jasmine Dürr,Ingold,2004,2025-02-18,http://jasmineduerr.wordpress.com/,
ece-gauer,Ece Gauer,Kasseböhmer,2010,2025-02-17,http://www.munichlimited.com/,
katharina-pabst,Katharina Pabst,Pitz,2006,2025-02-11,http://www.etracker.com,
bastian-maria-meindl,Bastian Maria Meindl,Anke Doberauer,2015,2025-02-10,http://www.etracker.com,
julia-mussgnug,Julia Mussgnug,Rosefeldt,2016,2025-02-05,http://www.NOTEXISTING.com,
madeleine-schollerer,Madeleine Schollerer,Hien,2004,2025-01-23,http://www.instagram.com/madeleineschollerer/,
robert-haubelt,Robert Haubelt,Wähner,2004,2025-01-12,http://www.etracker.com,
eunji-seo,Eunji Seo,Florian Pumösl,2013,2025-01-05,http://www.eunjiseo.com/,
robert-rudigier,Robert Rudigier,Förg,2010,2024-12-07,http://www.etracker.com,
thomas-wiedemann,Thomas Wiedemann,Dillemuth,2003,2024-11-05,http://www.etracker.com,
maris-kivimaee,Maris Kivimäe,Connert,2013,2024-10-16,http://www.etracker.com,
andreana-dobreva,Andreana Dobreva,Doberauer,2012,2024-10-14,http://www.etracker.com,
sophie-lindner,Sophie Lindner,Hermann Pitz,2016,2024-09-28,http://www.etracker.com,
judith-goldschmid,Judith Goldschmid,Lang,2001,2024-09-26,http://www.etracker.com,
felix-hoerhager,Felix Hörhager,Klaus vom Bruch,2000,2024-09-25,http://www.videoart.space,
lisiena-arifi,Lisiena Arifi,Zeniuk,2008,2024-08-08,http://www.etracker.com,
alessandro-bostelmann,Alessandro Bostelmann,Oehlen,2011,2024-07-19,http://www.alessandrobostelmann.com/,
franziska-seitz,Franziska Seitz,http://www.klasse-hien.de,2008,2024-07-12,http://www.klasse-hien.de,
martin-loew,Martin Löw,Zeniuk,2000,2024-07-08,https://www.martinloew.de,
julia-burek,Julia Burek,Karin Kneffel,2017,2024-06-20,http://www.juliaburek.com/,
diana-akoto-yip,Diana Akoto-Yip,Bruch,2009,2024-06-18,http://www.d-ay.work/,
katharina-neuweg,Katharina Neuweg,Förg,2007,2024-06-06,http://www.katharinaneuweg.de,
tamara-flade,Tamara Flade,Jetelova,2007,2024-05-16,http://www.blauenacht.nuernberg.de,
eun-young-lee,Eun Young Lee,Axel Kasseböhmer,2014,2024-05-07,http://www.eun-young.com,
an-laphan,An Laphan,Bruch,2010,2024-05-05,https://laphanelephant.com/,
dorothee-simbeck,Dorothee Simbeck,Kasseböhmer,2002,2024-05-04,http://www.etracker.com,
raik-gupin,Raik Gupin,Karin Kneffel,2008,2024-05-04,http://www.etracker.com,
florian-baumgartner,Florian Baumgartner,Stephan Dillemuth,2002,2024-04-08,http://www.florianathanatosbaumgartner.com,
martina-zoels,Martina Zöls,Wähner,2002,2024-03-29,http://www.defender2travel.com,
johannes-hlawon,Johannes Hlawon,Dillemuth,2002,2024-03-15,http://www.etracker.com,
simon-wenz,Simon Wenz,Pitz,2017,2024-03-13,http://www.adbk.de/de/diplom-24/4595-simon-wenz.html,
ismael-dua,Ismael Duá,Weizsäcker,2007,2024-03-13,http://www.ismael.tv,
sophia-lubin,Sophia Lubin,Hien,2016,2024-03-09,http://www.etracker.com,
asta-unger,Asta von Unger,Förg,2006,2024-02-07,http://www.etracker.com,"1970, Frankfurt am Main"
stela-vula,Stela Vula,Huber,2013,2024-02-02,https://stelavula.com/,
hyundeok-hwang,Hyundeok Hwang,Markus Oehlen,2016,2024-01-28,http://www.etracker.com,
lena-teresa-flohrschuetz,Lena Teresa Flohrschütz,Bruch,2010,2024-01-25,http://LenaTeresaFlohrschuetz.com/,
dominik-bais,Dominik Bais,Rosefeldt,2012,2024-01-11,http://www.etracker.com,
valentina-eppich,Valentina Eppich,Pia Fries,2014,2024-01-09,http://www.etracker.com,
nele-mueller,Nele Müller,Schneider,2006,2023-12-16,https://www.br.de/mediathek/podcast/artmix-galerie/nele-mueller-audioguide/32455/,
klaus-erich-dietl,Klaus Erich Dietl,Schottenloher,1995,2023-12-14,http://alligatorgozaimasu.bandcamp.com/album/episode-1-solange-bunte-balken-durchlaufen,
constanze-pladek,Constanze Pladek,Zeniuk,1996,2023-12-06,http://www.etracker.com,
jungmin-park,Jungmin Park,Bustamante,2010,2023-11-09,http://www.etracker.com,
jakob-steiger,Jakob Steiger,Wähner,2010,2023-11-05,http://www.instagram.com/jakobsteiger/?hl=de,
eunah-hong,Eunah Hong,Doberauer,2008,2023-10-04,http://www.hongeunah.com,
louisa-abdelkader,Louisa Abdelkader,Hien,2006,2023-09-13,http://www.louisaabdelkader.de/,
janina-roider,Janina Roider,Förg,2006,2023-08-23,http://www.janinaroider.com,
margrieta-wever,Margrieta Wever,Klaus vom Bruch,2006,2023-08-12,http://www.margrieta-wever.de,
bokyeom-kwon,Bokyeom Kwon,Karin Kneffel,2020,2023-08-01,http://www.etracker.com,
laura-stracke,Laura Stracke,Prangenberg,2006,2023-07-02,http://www.etracker.com,
johanna-kunze,Johanna Kunze,Wähner,2010,2023-06-26,http://www.instagram.com/jay.ccount/,
antonio-sarcinella,Antonio Sarcinella,Doberauer,2017,2023-06-26,https://www.antoniosarcinella.com,
jonas-pretterer,Jonas Pretterer,Albert Hien,2015,2023-06-12,http://www.etracker.com,
florian-donnerstag,Florian Donnerstag,Oehlen,2017,2023-06-12,http://www.instagram.com/floriandonnerstag,
veronica-burnuthian,Veronica Burnuthian,Markus Oehlen,2016,2023-04-22,http://www.regalizmenta.com,
aron-herdrich,Aron Herdrich,Pia Fries,2011,2023-04-19,http://www.etracker.com,
anselma-murswiek,Anselma Murswiek,Jorinde Voigt,2014,2023-03-21,http://www.anselma-murswiek.com/,
jakob-wilsdorf,Jakob Wilsdorf,Albert Hien,2011,2023-03-06,http://jakobwilsdorf.de,
josef-koestlbacher,Josef Köstlbacher,Oehlen,2011,2023-02-19,http://www.malso13.com/,
katja-bonnlaender,Katja Bonnländer,Schottenloher,1999,2023-02-14,http://www.etracker.com,
lukas-hoffmann,Lukas Hoffmann,Hien,2013,2023-02-10,http://www.lukashoffmann.org/,
lukas-loske,Lukas Loske,Rehm,2014,2023-02-07,http://www.lukasloske.com/,
sandra-zech,Sandra Zech,Gregor Schneider,2014,2023-02-07,http://www.etracker.com,
sri-maryanto,Sri Maryanto,Oehlen,2012,2023-02-03,http://www.srimaryanto.com/,
julia-emslander,Julia Emslander,Doberauer,2015,2023-01-09,http://www.etracker.com,
olga-goloshchapova,Olga Goloshchapova,Huber,2011,2022-12-13,http://www.etracker.com,
karolina-vocke,Karolina Vocke,Anke Doberauer,2014,2022-11-18,http://www.karolinavocke.com,
tobias-maier,Tobias Maier,Hien,2014,2022-11-06,http://www.etracker.com,
roman-cherezov,Roman Cherezov,Kasseböhmer,2015,2022-11-02,http://www.etracker.com,
jonghoon-im,Jonghoon Im,Jorinde Voigt,2014,2022-11-01,http://jonghoonim.com/,
barbara-trommeter,Barbara Trommeter,Ingold,2001,2022-10-28,http://www.trommeter.com,
marie-madlen-weber,Marie-Madlen Weber,Hien,2005,2022-10-27,http://www.marie-madlen.com/  ,
marile-holzner,Marile Holzner,Kneffel,2010,2022-10-13,http://www.etracker.com,
theo-hofmann,Theo Hofmann,Ingold,2005,2022-09-13,http://www.theohofmann.de,
andreas-lech,Andreas Lech,Oehlen,2012,2022-09-07,http://www.etracker.com,
minjae-lee,Minjae Lee,Gregor Schneider,2015,2022-07-27,https://www.instagram.com/minjae.m4h/,
eva-lachhammer,Eva Lachhammer,Ingold,2004,2022-07-26,http://www.etracker.com,
simone-kellermann,Simone Kellermann,Hildebrand,2010,2022-07-25,http://www.etracker.com,
nicolai-schneider,Nicolai Schneider,Rehm,2014,2022-07-18,http://www.etracker.com,
andreas-woller,Andreas Woller,Hien,2008,2022-07-13,http://www.andreaswoller.com,
youngjun-lee,Youngjun Lee,Oehlen,2013,2022-07-12,https://www.youngjunlee.com/,
tom-schulhauser,Tom Schulhauser,Doberauer,2009,2022-07-05,http://www.tomschulhauser.com,
carolin-wenzel,Carolin Wenzel,Hien,2003,2022-06-27,http://youtu.be/Wqscjs42dQM,
carina-steidele,Carina Steidele,Res Ingold,2005,2022-06-09,http://www.etracker.com,
yuko-takatsudo,Yuko Takatsudo,Zeniuk,2010,2022-05-28,http://www.etracker.com,
mehmet-kazim,Mehmet Kazim,Oehlen,2015,2022-05-14,https://www.mehmetandkazim.com/,
rezka-hrabcova,Rezka Hrabcova,Prangenberg,2007,2022-04-26,http://www.etracker.com,
barbara-schrobenhauser,Barbara Schrobenhauser,Künzli,2007,2022-04-03,http://www.thomasalbdorf.com,
sonja-kubuschok,Sonja Kubuschok,Ingold,2011,2022-03-30,http://www.etracker.com,
sophia-sandler,Sophia Sandler,Hien,2013,2022-03-28,http://www.etracker.com,
jie-li,Jie Li,Kasseböhmer,2013,2022-03-14,http://www.etracker.com,
domino-pyttel,Domino Pyttel,Huber,2010,2022-03-08,http://www.etracker.com,
usija-wallner,Usija Wallner,Dillemuth,2002,2022-02-14,http://www.usijawallner.wordpress.com,
julia-schewalie,Julia Schewalie,Pitz,2009,2022-02-06,http://www.juliaschewalie.com,
nikolai-guembel,Nikolai Gümbel,Bircken,2015,2022-02-03,http://www.etracker.com,
simone-strasser,Simone Strasser,Doberauer,2003,2022-01-18,http://www.etracker.com,
jaemin-lee,Jaemin Lee,Günther Förg,2013,2022-01-12,http://www.etracker.com,
johanna-aigner,Johanna Aigner,Pitz,2003,2022-01-09,http://www.etracker.com,
lilian-robl,Lilian Robl,Huber,2012,2021-12-12,http://www.lilianrobl.de/,1990
jayhyung-kim,Jayhyung Kim,Kasseböhmer,2014,2021-11-10,http://www.Jayhyung.com,
sebastian-mayrhofer,Sebastian Mayrhofer,Ingold,2009,2021-10-29,http://www.sebastian-mayrhofer.com,
kathrin-partelli,Kathrin Partelli,Pitz,2003,2021-10-22,http://partelli.de/,
moritz-moll,Moritz Moll,Anke Doberauer,2015,2021-10-19,http://www.etracker.com,
karin-schedlbauer,Karin Schedlbauer,Stephan Huber,2010,2021-10-13,http://www.karin-schedlbauer.de/wp-content/uploads/Portfolio_KarinsMedia_2021_CV_END_comp_5MB.pdf,
lara-eckert,Lara Eckert,Kneffel,2008,2021-10-08,http://www.etracker.com,
jan-rybnicek,Jan Rybnicek,Oehlen,2012,2021-09-29,http://www.novagalerie.cz/exhibition/v-lese-vesele/,
chen-xin,Chen Xin,Oehlen,2002,2021-09-17,http://www.etracker.com,
anais-cousin,Anaïs Cousin,Doberauer,2014,2021-09-15,http://www.anaiscousin.com,
nassermann,Nassermann,Klaus vom Bruch,2004,2021-09-06,http://www.etracker.com,
mara-pollak,Mara Pollak,Julian Rosefeldt,2012,2021-09-01,http://www.marapollak.com,
isabelle-tondre,Isabelle Tondre,Jean-Marc Bustamante,2013,2021-08-18,http://www.youtu.be/FBhQgZvd0FU,"1992 Krasnodar, Russia"
xenia-fumbarev,Xenia Fumbarev,Bustamante,2012,2021-07-28,http://xeniafumbarev.com,
donata-kataria,Donata Kataria,Pitz,2003,2021-07-27,http://www.mt-online.de/lokales/kultur/3054808_Voluminoese_Wortspiele.html,
taeeun-kim,Taeeun Kim,Florian Pumhösl,2017,2021-07-20,http://www.etracker.com,
julia-wucharz,Julia Wucharz,Fries,2014,2021-07-17,http://www.etracker.com,
sophia-mainka,Sophia Mainka,Huber,2012,2021-07-17,http://www.etracker.com,
simon-hartl,Simon Hartl,Rehm,2019,2021-07-09,http://www.etracker.com,
stefanie-brehm,Stefanie Brehm,Prangenberg,2006,2021-06-22,http://www.stefaniebrehm.de,
samaya-almas-thier,Samaya Almas Thier,Bustamante,2006,2021-06-20,http://www.samayathier.de,
luminita-mihailicenco,Luminita Mihailicenco,Kasseböhmer,2005,2021-06-14,http://www.art-lumi.com,
andrej-auch,Andrej Auch,Kneffel,2015,2021-06-03,http://www.etracker.com,
julia-zaunitzer,Julia Zaunitzer,Hien,2012,2021-05-31,http://www.etracker.com,
rebecca-ruchti,Rebecca Ruchti,Wermers,2016,2021-04-28,http://www.etracker.com,
haiying-xu,Haiying Xu,Doberauer,2003,2021-04-10,http://www.haiying-xu.com/,
shinae-kim,Shinae Kim,Nicolai,2008,2021-03-28,http://www.shinaekim.com,
judith-schenkirz,Judith Schenkirz,Dillemuth,1996,2021-03-21,http://www.judithschenkirz.de/,
janina-totzauer,Janina Totzauer,Rosefeldt,2012,2021-03-20,http://www.janinatotzauer.de,
jennifer-schilling-schittenhelm,Jennifer Schilling-Schittenhelm,Wähner,2003,2021-03-14,http://www.etracker.com,
tom-messavilla-,Tom Messavilla,Anke Doberauer,2016,2021-03-06,http://www.tommessavilla.com,
eva-maria-sandorova,Eva-Maria Sandorova,Wäner,2010,2021-03-05,http://vimeo.com/78643158,
andrei-hancu,Andrei Hancu,Kogler,2015,2021-03-02,http://andreihancu.com/,
esther-zahel,Esther Zahel,Förg,2013,2021-02-22,http://www.estherzahel.com,
uli-ball,Uli Ball,Doberauer,2008,2021-02-17,http://www.etracker.com,
johannes-herrmann,Johannes Herrmann,Förg,2013,2021-02-17,http://www.johannesherrmann.com/,
angelika-ecker-pippig,Angelika Ecker-Pippig,Zeniuk,2002,2021-02-16,http://www.etracker.com,
elizaveta-reich,Elizaveta Reich,Doberauer,2000,2021-02-10,http://www.liza-reich.com/,
julia-smirnova,Julia Smirnova,Bustamante,2009,2021-02-08,http://juliasmirnova.com/,
sebastian-gumpinger,Sebastian Gumpinger,Marc Bustamante,2009,2021-02-07,http://www.sebastiangumpinger.com,
florian-freier,Florian Freier,Matthias Wähner,2002,2021-01-23,http://florianfreier.de/eyeofgod,
karen-ernst,Karen Ernst,Pitz,2007,2021-01-18,http://www.etracker.com,
manuel-rumpf,Manuel Rumpf,Doberauer,2006,2021-01-08,https://www.manuelrumpf.de/,
xenia-hartok,Xenia Hartok,Doberauer,2016,2020-12-30,http://www.xeniahartok.de,
martin-sebastian-feist,Martin Sebastian Feist,Zeniuk,2009,2020-11-28,http://bavaria-art.ning.com/profiles/profile/show?id=MartinSebastianFeist,
ana-pusica,Ana Pusica,Doberauer,2009,2020-11-27,http://ana-pusica.com/,
susu-gorth,Susu Gorth,Stephan Huber,1999,2020-11-27,http://www.etracker.com,
robin-thomas,Robin Thomas,Dieter Rehm,2005,2020-11-19,http://www.etracker.com,
aida-sadat,Aida Sadat,Voigt,2012,2020-11-11,http://www.etracker.com,
viktor-rencelj,Viktor Rencelj,Rehm,2011,2020-11-08,http://www.etracker.com,
jiyun-cheon,Jiyun Cheon,Doberauer,2008,2020-11-04,http://www.etracker.com,
stefanie-hammann,Stefanie Hammann,Metzel,2008,2020-10-19,http://www.etracker.com,
jaime-gajardo,Jaime Gajardo,Doberauer,2006,2020-10-10,http://www.etracker.com,
martin-spitzweck,Martin Spitzweck,Hien,2013,2020-09-20,http://www.etracker.com,
nadja-beryl-jerczynski,Nadja Beryl Jerczynski,Scully,1996,2020-09-13,http://www.etracker.com,
stefanie-gerstmayr,Stefanie Gerstmayr,Rehm,2008,2020-09-03,http://www.sensory-receptors.com,
linda-lerch,Linda Lerch,Ingold,2006,2020-08-30,http://www.etracker.com,
julia-winter,Julia Winter,Zeniuk,2007,2020-08-24,http://www.etracker.com,
verena-kehrer,Verena Kehrer,Prangenberg,2007,2020-08-20,http://www.etracker.com,
mariya-vasilyeva,Mariya Vasilyeva,Bruch,2013,2020-08-09,https://www.instagram.com/mariyavasilyeva93/,
paul-valentin,Paul Valentin,Stephan Huber,2012,2020-08-08,http://www.paulvalentin.de,
dana-greiner,Dana Greiner,Pia Fries,2010,2020-08-04,http://www.danagreiner.com,
jessica-grundler,Jessica Grundler,Karin Kneffel,2014,2020-07-26,http://www.etracker.com,
bianca-kennedy,Bianca Kennedy,Bruch,2011,2020-07-17,http://www.biancakennedy.com,
lea-wilsdorf,Lea Wilsdorf,Ingold,2013,2020-07-11,http://www.etracker.com,
jana-schuetzenduebel,Jana Schützendübel,Brack,2008,2020-07-09,http://www.etracker.com,
sakiko-fukaya,Sakiko Fukaya,Kasseboehmer,2012,2020-07-07,https://sakikofukaya.tumblr.com/,
lucia-cristobal-marin,Lucia Cristobal Marin,Baumschlager,2011,2020-07-03,http://www.etracker.com,
leo-heinik,Leo Heinik,Dillemuth,2011,2020-06-29,http://www.leoheinik.net,
fabian-beger,Fabian Beger,Oehlen,2018,2020-06-29,http://www.etracker.com,
michael-lippmann,Michael Lippmann,Kogler,2014,2020-06-07,http://www.etracker.com,
judith-grassl,Judith Grassl,Doberauer,2008,2020-06-06,http://www.judithgrassl.com,
sophia-suessmilch,Sophia Süßmilch,Huber,2006,2020-05-30,http://www.etracker.com,
irina-ojovan,Irina Ojovan,Foerg,2013,2020-05-25,http://www.etracker.com,
lina-zylla,Lina Zylla,Förg,2012,2020-05-22,http://www.linazylla.com,
caroline-fischer,Caroline Fischer,Kneffel,2009,2020-05-02,http://www.carolinefischer.eu/,
sophie-schmidt,Sophie Schmidt,Huber,2010,2020-04-29,http://sophieschmidt.info,
jessica-perez,Jessica Perez,Schottenloher,2008,2020-04-24,http://www.etracker.com,
matthias-wohlgenannt,Matthias Wohlgenannt,Hien,2003,2020-04-23,http://www.wohlgenannt-matthias.de,
anuk-miladinovic,Anuk Miladinovic,Peter Kogler,2005,2020-04-19,http://www.etracker.com,
lukas-kindermann,Lukas Kindermann,Kogler,2010,2020-04-10,http://artzine.is/between-publication-and-exhibition-with-lukas-kindermanns-illustrated-london-news-editions/,
yuri-togawa,Yuri Togawa,Jorinde Voigt,2018,2020-04-02,https://yuritogawa.wixsite.com/yuritogawa,
fabian-feichter,Fabian Feichter,Metzel,2006,2020-03-25,http://www.etracker.com,
pio-ziltz,Pio Ziltz,Oehlen,2009,2020-03-15,http://www.etracker.com,
johannes-seyerlein,Johannes Seyerlein,Förg,2002,2020-03-13,http://www.johannesseyerlein.de,
